"jump.times","SpeciesmRNA","SpeciesProtein"
0.589078749969186,767,31
0.591270629453898,766,31
0.592424430982952,765,31
0.594104113896322,764,31
0.594348603200032,763,31
0.59841043955079,762,31
0.603318645112369,761,31
0.606238568088725,760,31
0.613627485314598,760,32
0.616534978892499,760,33
0.622783412381236,759,33
0.623798389780255,758,33
0.624424063112624,757,33
0.626012806439575,756,33
0.627542876706376,755,33
0.629085270398372,754,33
0.630837912484187,754,34
0.632153970088425,754,33
0.632762495038968,753,33
0.632924204438382,752,33
0.640921298187474,751,33
0.648053317697182,750,33
0.648165717591879,749,33
0.651975963879239,748,33
0.653426975981302,747,33
0.655494900569389,746,33
0.655703976004117,745,33
0.659823844465284,744,33
0.660808477313086,743,33
0.66212762475564,742,33
0.663700889137789,742,34
0.667175833213249,741,34
0.668636489290068,740,34
0.672713941622929,739,34
0.674921674958618,738,34
0.675509227413518,738,35
0.675518213102463,737,35
0.675674446481974,736,35
0.676786384292943,735,35
0.681291073383111,734,35
0.68460606194561,733,35
0.684881238785476,732,35
0.684912299951832,731,35
0.687233320831436,730,35
0.689310601294235,729,35
0.691451762930404,728,35
0.694889036041559,727,35
0.695511703200789,726,35
0.701408566967596,725,35
0.701833999318299,725,36
0.702263247325588,724,36
0.702624398867869,723,36
0.704816697721681,722,36
0.705515110643,722,37
0.708120984510823,722,38
0.710534277882877,721,38
0.711931304835159,720,38
0.714507703882184,719,38
0.718697425682644,718,38
0.720355768913985,717,38
0.724811674471017,716,38
0.726216672216994,716,39
0.72636535601171,715,39
0.726516461144707,715,38
0.726940782109162,714,38
0.728101721253137,713,38
0.734428648007135,712,38
0.736855377171283,711,38
0.73812979367109,710,38
0.741371333830206,709,38
0.742399118936595,708,38
0.742856624263165,707,38
0.74499201449079,706,38
0.750270053442078,705,38
0.750514534823817,704,38
0.753955941908948,704,37
0.754871877381528,704,38
0.758295066518389,704,39
0.759581393129153,703,39
0.761427908196161,703,38
0.761523737723528,702,38
0.76400645803491,702,39
0.764493768876303,701,39
0.767439138706232,701,38
0.769275396018921,700,38
0.77654299977844,699,38
0.77710662349788,698,38
0.778131541177339,697,38
0.782549384695277,696,38
0.783578920084091,696,39
0.784506481424507,696,38
0.785549274143149,695,38
0.788786785515597,694,38
0.789090515827882,693,38
0.789781592352112,693,37
0.790422626762881,692,37
0.791263107326023,691,37
0.793090245722224,690,37
0.793910776623517,689,37
0.800606979971932,688,37
0.804251601605187,687,37
0.808961466688467,686,37
0.812801053442627,685,37
0.813746883994332,684,37
0.816474839247725,683,37
0.821418958632452,682,37
0.827988842816016,682,36
0.831389338160216,681,36
0.836192580271844,680,36
0.836502138283925,679,36
0.837150447979573,679,37
0.850913101761756,678,37
0.851651389522595,677,37
0.854543220713956,676,37
0.856856870735948,675,37
0.85766355139909,674,37
0.857866925896518,674,38
0.861459434982717,673,38
0.867777967594544,672,38
0.877905763325932,671,38
0.878885468875716,671,39
0.889921918706074,670,39
0.892500846092507,669,39
0.894268397345323,669,40
0.898048564315146,668,40
0.899773254189706,668,41
0.902633587663621,667,41
0.905611867453059,666,41
0.907963234611182,666,42
0.911052699543122,666,41
0.914594253559487,665,41
0.916361733727525,664,41
0.919885276087289,664,40
0.919929187423098,663,40
0.924204089508542,662,40
0.925285406313766,661,40
0.926641842401786,660,40
0.92675931389804,660,39
0.926834979674225,659,39
0.929333207506332,658,39
0.930428031957155,657,39
0.931891130361204,656,39
0.933748279559013,655,39
0.934787450920751,655,40
0.943424528848537,654,40
0.946935930967321,653,40
0.950799929087885,652,40
0.952678897152582,651,40
0.953828380501583,650,40
0.954000119326241,649,40
0.957356032692833,648,40
0.961181135324557,647,40
0.961403960284785,646,40
0.964582426723196,645,40
0.965187384260334,644,40
0.968957812190922,643,40
0.971537805012256,642,40
0.971624031379244,641,40
0.976246259256333,640,40
0.981165972591095,639,40
0.981732169288459,638,40
0.984453827244863,638,41
0.985166872070999,637,41
0.985380333964172,637,42
0.986515803196348,636,42
0.987305664107443,635,42
0.989895599588221,634,42
0.992749708090042,634,43
0.994525975691276,633,43
0.996039234488605,632,43
0.99977654193611,631,43
1.0039750376262,630,43
1.00409757012851,629,43
1.00760204300851,628,43
1.01279402536433,627,43
1.01481598620223,626,43
1.01566854024016,625,43
1.01712777916115,624,43
1.01769112539255,623,43
1.02166438429952,623,44
1.02327575582649,622,44
1.02475591098317,621,44
1.02888084921815,621,43
1.02918776332599,620,43
